Hecho ID,Customer ID,Product ID,Sales ID
1,CG-12520,FUR-BO-10001798,152156-10001798-2
2,CG-12520,FUR-CH-10000454,152156-10000454-7
3,DV-13045,OFF-LA-10000240,138688-10000240-1
4,SO-20335,FUR-TA-10000577,108966-10000577-9
5,SO-20335,OFF-ST-10000760,108966-10000760-2
6,BH-11710,FUR-FU-10001487,115812-10001487-4
7,BH-11710,OFF-AR-10002833,115812-10002833-7
8,BH-11710,TEC-PH-10002275,115812-10002275-9
9,BH-11710,OFF-BI-10003910,115812-10003910-1
10,BH-11710,OFF-AP-10002892,115812-10002892-1
11,BH-11710,FUR-TA-10001539,115812-10001539-1
12,BH-11710,TEC-PH-10002033,115812-10002033-9
13,AA-10480,OFF-PA-10002365,114412-10002365-1
14,IM-15070,OFF-BI-10003656,161389-10003656-4
15,HP-14815,OFF-AP-10002311,118983-10002311-6
16,HP-14815,OFF-BI-10000756,118983-10000756-2
17,PK-19075,OFF-ST-10004186,105893-10004186-6
18,AG-10270,OFF-ST-10000107,167164-10000107-5
19,ZD-21925,OFF-AR-10003056,143336-10003056-8
20,ZD-21925,TEC-PH-10001949,143336-10001949-2
21,ZD-21925,OFF-BI-10002215,143336-10002215-2
22,KB-16585,OFF-AR-10000246,137330-10000246-1
23,KB-16585,OFF-AP-10001492,137330-10001492-6
24,SF-20065,FUR-CH-10002774,156909-10002774-7
25,EB-13870,FUR-TA-10000577,106320-10000577-1
26,EH-13945,OFF-BI-10001634,121755-10001634-1
27,EH-13945,TEC-AC-10003027,121755-10003027-9
28,TB-21520,FUR-BO-10004834,150630-10004834-3
29,TB-21520,OFF-BI-10000474,150630-10000474-9
30,TB-21520,FUR-FU-10004848,150630-10004848-1
31,TB-21520,OFF-EN-10001509,150630-10001509-3
32,TB-21520,OFF-AR-10004042,150630-10004042-8
33,TB-21520,OFF-BI-10001525,150630-10001525-6
34,TB-21520,OFF-AR-10001683,150630-10001683-1
35,MA-17560,OFF-PA-10000249,107727-10000249-2
36,GH-14485,TEC-PH-10004977,117590-10004977-1
37,GH-14485,FUR-FU-10003664,117590-10003664-1
38,SN-20710,OFF-EN-10002986,117415-10002986-1
39,SN-20710,FUR-BO-10002545,117415-10002545-5
40,SN-20710,FUR-CH-10004218,117415-10004218-2
41,SN-20710,TEC-PH-10000486,117415-10000486-3
42,LC-16930,TEC-PH-10004093,120999-10004093-1
43,RA-19885,OFF-ST-10003479,101343-10003479-7
44,ES-14080,OFF-ST-10003282,139619-10003282-9
45,ON-18715,TEC-AC-10000171,118255-10000171-4
46,ON-18715,OFF-BI-10003291,118255-10003291-1
47,PO-18865,OFF-ST-10001713,146703-10001713-2
48,LH-16900,TEC-AC-10002167,169194-10002167-4
49,LH-16900,TEC-PH-10003988,169194-10003988-2
50,DP-13000,OFF-BI-10004410,115742-10004410-3
