Sales ID,Order ID,Order Date,Ship Date,Ship Mode,Sales,Quantity,Discount,Profit
152156-10001798-2,CA-2013-152156,09/11/2013,12/11/2013,Second Class,261.96,2,0,41.91
152156-10000454-7,CA-2013-152156,09/11/2013,12/11/2013,Second Class,731.94,3,0,219.58
138688-10000240-1,CA-2013-138688,13/06/2013,17/06/2013,Second Class,14.62,2,0,6.87
108966-10000577-9,US-2012-108966,11/10/2012,18/10/2012,Standard Class,957.5775,5,0.45,-383.03
108966-10000760-2,US-2012-108966,11/10/2012,18/10/2012,Standard Class,22.368,2,0.2,2.52
115812-10001487-4,CA-2011-115812,09/06/2011,14/06/2011,Standard Class,48.86,7,0,14.17
115812-10002833-7,CA-2011-115812,09/06/2011,14/06/2011,Standard Class,7.28,4,0,1.97
115812-10002275-9,CA-2011-115812,09/06/2011,14/06/2011,Standard Class,907.152,6,0.2,90.72
115812-10003910-1,CA-2011-115812,09/06/2011,14/06/2011,Standard Class,18.504,3,0.2,5.78
115812-10002892-1,CA-2011-115812,09/06/2011,14/06/2011,Standard Class,114.9,5,0,34.47
115812-10001539-1,CA-2011-115812,09/06/2011,14/06/2011,Standard Class,1706.184,9,0.2,85.31
115812-10002033-9,CA-2011-115812,09/06/2011,14/06/2011,Standard Class,911.424,4,0.2,68.36
114412-10002365-1,CA-2014-114412,16/04/2014,21/04/2014,Standard Class,15.552,3,0.2,5.44
161389-10003656-4,CA-2013-161389,06/12/2013,11/12/2013,Standard Class,407.976,3,0.2,132.59
118983-10002311-6,US-2012-118983,22/11/2012,26/11/2012,Standard Class,68.81,5,0.8,-123.86
118983-10000756-2,US-2012-118983,22/11/2012,26/11/2012,Standard Class,2.544,3,0.8,-3.82
105893-10004186-6,CA-2011-105893,11/11/2011,18/11/2011,Standard Class,665.88,6,0,13.32
167164-10000107-5,CA-2011-167164,13/05/2011,15/05/2011,Second Class,55.5,2,0,9.99
143336-10003056-8,CA-2011-143336,27/08/2011,01/09/2011,Second Class,8.56,2,0,2.48
143336-10001949-2,CA-2011-143336,27/08/2011,01/09/2011,Second Class,213.48,3,0.2,16.01
143336-10002215-2,CA-2011-143336,27/08/2011,01/09/2011,Second Class,22.72,4,0.2,7.38
137330-10000246-1,CA-2013-137330,10/12/2013,14/12/2013,Standard Class,19.46,7,0,5.06
137330-10001492-6,CA-2013-137330,10/12/2013,14/12/2013,Standard Class,60.34,7,0,15.69
156909-10002774-7,US-2014-156909,17/07/2014,19/07/2014,Second Class,71.372,2,0.3,-1.02
106320-10000577-1,CA-2012-106320,25/09/2012,30/09/2012,Standard Class,1044.63,3,0,240.26
121755-10001634-1,CA-2013-121755,16/01/2013,20/01/2013,Second Class,11.648,2,0.2,4.22
121755-10003027-9,CA-2013-121755,16/01/2013,20/01/2013,Second Class,90.57,3,0,11.77
150630-10004834-3,US-2012-150630,17/09/2012,21/09/2012,Standard Class,3083.43,7,0.5,-1665.05
150630-10000474-9,US-2012-150630,17/09/2012,21/09/2012,Standard Class,9.618,2,0.7,-7.05
150630-10004848-1,US-2012-150630,17/09/2012,21/09/2012,Standard Class,124.2,3,0.2,15.53
150630-10001509-3,US-2012-150630,17/09/2012,21/09/2012,Standard Class,3.264,2,0.2,1.10
150630-10004042-8,US-2012-150630,17/09/2012,21/09/2012,Standard Class,86.304,6,0.2,9.71
150630-10001525-6,US-2012-150630,17/09/2012,21/09/2012,Standard Class,6.858,6,0.7,-5.72
150630-10001683-1,US-2012-150630,17/09/2012,21/09/2012,Standard Class,15.76,2,0.2,3.55
107727-10000249-2,CA-2014-107727,20/10/2014,24/10/2014,Second Class,29.472,3,0.2,9.95
117590-10004977-1,CA-2013-117590,09/12/2013,11/12/2013,First Class,1097.544,7,0.2,123.47
117590-10003664-1,CA-2013-117590,09/12/2013,11/12/2013,First Class,190.92,5,0.6,-147.96
117415-10002986-1,CA-2012-117415,27/12/2012,31/12/2012,Standard Class,113.328,9,0.2,35.42
117415-10002545-5,CA-2012-117415,27/12/2012,31/12/2012,Standard Class,532.3992,3,0.32,-46.98
117415-10004218-2,CA-2012-117415,27/12/2012,31/12/2012,Standard Class,212.058,3,0.3,-15.15
117415-10000486-3,CA-2012-117415,27/12/2012,31/12/2012,Standard Class,371.168,4,0.2,41.76
120999-10004093-1,CA-2014-120999,11/09/2014,16/09/2014,Standard Class,147.168,4,0.2,16.56
101343-10003479-7,CA-2013-101343,18/07/2013,23/07/2013,Standard Class,77.88,2,0,3.89
139619-10003282-9,CA-2014-139619,20/09/2014,24/09/2014,Standard Class,95.616,2,0.2,9.56
118255-10000171-4,CA-2013-118255,12/03/2013,14/03/2013,First Class,45.98,2,0,19.77
118255-10003291-1,CA-2013-118255,12/03/2013,14/03/2013,First Class,17.46,2,0,8.21
146703-10001713-2,CA-2011-146703,20/10/2011,25/10/2011,Second Class,211.96,4,0,8.48
